detection_backend,recognition_backend,preprocess_mode,alignment,deepface_model,gallery_persons,gallery_images,gallery_detection_rate,probe_images,probe_detection_rate,probe_embedding_rate,avg_detection_ms,avg_embedding_ms,threshold,tp,fp,fn,tn,accuracy,tpr,fpr,precision,f1
dlib_hog,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,16.189871910008538,170.2428337080011,0.3,0,0,49,10,0.1694915254237288,0.0,0.0,0.0,0.0
dlib_hog,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,16.189871910008538,170.2428337080011,0.4,15,0,34,10,0.423728813559322,0.30612244897959184,0.0,1.0,0.46875
dlib_hog,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,16.189871910008538,170.2428337080011,0.5,41,0,8,10,0.864406779661017,0.8367346938775511,0.0,1.0,0.9111111111111111
dlib_hog,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,16.189871910008538,170.2428337080011,0.6,46,4,1,8,0.9152542372881356,0.9787234042553191,0.3333333333333333,0.92,0.9484536082474226
dlib_hog,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,16.189871910008538,170.2428337080011,0.7,47,11,0,1,0.8135593220338984,1.0,0.9166666666666666,0.8103448275862069,0.8952380952380953
dlib_cnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,2298.162069662917,174.72025056179447,0.3,0,0,49,10,0.1694915254237288,0.0,0.0,0.0,0.0
dlib_cnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,2298.162069662917,174.72025056179447,0.4,16,0,33,10,0.4406779661016949,0.32653061224489793,0.0,1.0,0.49230769230769234
dlib_cnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,2298.162069662917,174.72025056179447,0.5,41,0,8,10,0.864406779661017,0.8367346938775511,0.0,1.0,0.9111111111111111
dlib_cnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,2298.162069662917,174.72025056179447,0.6,46,2,2,9,0.9322033898305084,0.9583333333333334,0.18181818181818182,0.9583333333333334,0.9583333333333334
dlib_cnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,2298.162069662917,174.72025056179447,0.7,47,11,0,1,0.8135593220338984,1.0,0.9166666666666666,0.8103448275862069,0.8952380952380953
mediapipe,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,36.007228089944334,171.37433595506877,0.3,1,0,48,10,0.1864406779661017,0.02040816326530612,0.0,1.0,0.04
mediapipe,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,36.007228089944334,171.37433595506877,0.4,13,0,36,10,0.3898305084745763,0.2653061224489796,0.0,1.0,0.41935483870967744
mediapipe,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,36.007228089944334,171.37433595506877,0.5,41,0,8,10,0.864406779661017,0.8367346938775511,0.0,1.0,0.9111111111111111
mediapipe,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,36.007228089944334,171.37433595506877,0.6,47,1,2,9,0.9491525423728814,0.9591836734693877,0.1,0.9791666666666666,0.9690721649484536
mediapipe,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,36.007228089944334,171.37433595506877,0.7,48,9,0,2,0.847457627118644,1.0,0.8181818181818182,0.8421052631578947,0.9142857142857143
opencv_dnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,17.59205842709082,170.47621123596952,0.3,1,0,48,10,0.1864406779661017,0.02040816326530612,0.0,1.0,0.04
opencv_dnn,dlib,pad_resize,True,,15,30,1.0,59,1.0,1.0,17.59205842709082,170.47621123596952,0.4,7,1,41,10,0.288135593220339,0.14583333333333334,0.09090909090909091,0.875,0.25
